runner,season,timeofday,distance,durationsec,avghr,maxhr,avgcadence,maxcadence,avgspeed,maxspeed,elevgain,elevloss,elevchange,course,avgstride
Leah,SPRING,EVENING,5.39,4771,131,171,128,248,4.063205418,6.74,522,551,-29,DOWNHILL,0.85
Leah,SPRING,MORNING,5.26,2768,178,185,165,176,6.844106464,8.18,79,62,17,FLAT,1.11
Leah,WINTER,EVENING,5.21,2836,161,183,167,174,6.617647059,7.83,131,226,-95,DOWNHILL,1.06
Leah,WINTER,EVENING,5.18,2805,172,185,170,176,6.642066421,8.43,148,259,-111,DOWNHILL,1.05
Leah,SPRING,EVENING,5.15,2728,165,186,164,174,6.79245283,8.24,138,226,-88,DOWNHILL,1.11
Leah,SPRING,NIGHT,5.12,2796,169,186,164,174,6.593406593,7.84,118,223,-105,DOWNHILL,1.08
Leah,WINTER,MORNING,5.1,2995,156,178,166,175,6.132879046,7.64,144,246,-102,DOWNHILL,0.99
Leah,WINTER,MORNING,5.05,2698,170,186,166,245,6.741573034,8.37,131,243,-112,DOWNHILL,1.09
Leah,SPRING,EVENING,5,6034,113,154,107,249,2.982601491,6.41,892,919,-27,DOWNHILL,0.75
Leah,WINTER,EVENING,4.54,2537,166,184,163,172,6.440071556,7.50,128,217,-89,DOWNHILL,1.06
Leah,WINTER,EVENING,4.53,2527,166,181,167,174,6.463195691,7.19,108,236,-128,DOWNHILL,1.04
Leah,SPRING,EVENING,4.5,3495,145,180,135,239,4.639175258,7.79,548,531,17,FLAT,0.92
Leah,WINTER,MORNING,4.36,4185,126,181,130,179,3.75,6.77,469,453,16,FLAT,0.77
Leah,WINTER,EVENING,4.32,3669,138,172,129,244,4.235294118,8.31,489,492,-3,FLAT,0.87
Leah,SPRING,AFTERNOON,4.31,3764,128,174,130,193,4.118993135,7.14,548,554,-6,FLAT,0.85
Leah,WINTER,MORNING,4.16,3676,139,179,122,179,4.06779661,7.74,587,561,26,UPHILL,0.89
Leah,SPRING,EVENING,4.15,3899,128,172,128,210,3.829787234,7.16,512,502,10,FLAT,0.8
Leah,WINTER,EVENING,4.09,2165,168,179,166,178,6.805293006,7.89,72,190,-118,DOWNHILL,1.1
Leah,SPRING,MORNING,4.02,2086,168,188,167,175,6.936416185,7.79,118,213,-95,DOWNHILL,1.12
Leah,WINTER,EVENING,4.01,2139,169,184,165,176,6.741573034,7.91,105,223,-118,DOWNHILL,1.1
Leah,SPRING,EVENING,4.01,2119,173,192,161,174,6.805293006,8.61,95,213,-118,DOWNHILL,1.13
Leah,WINTER,EVENING,4,2271,160,177,162,172,6.349206349,7.89,85,217,-132,DOWNHILL,1.05
Leah,SPRING,EVENING,4,4654,104,126,107,245,3.09544282,4.18,374,351,23,UPHILL,0.78
Leah,SPRING,EVENING,4,4617,111,173,112,245,3.119584055,6.70,541,528,13,FLAT,0.74
